Latitude,Longitude,Country,City,Population
FLOAT,FLOAT,TEXT,TEXT,INT
47.283056,9.65,at,rankweil,11455
50.15,9.033333,de,rodenbach,11455
52.6,7.266667,de,geeste,11456
10.025022,-74.622789,co,chivolo,11457
42.1,-83.1,ca,amherstburg,11459
50.8,-3.183333,gb,honiton,11463
59.3591667,27.4211111,ee,johvi,11469
16,-61.7166667,gp,basse-terre,11472
47.079366,8.340411,ch,ebikon,11473
36.4,28.1666667,gr,ialisos,11473
48.05,7.866667,de,gundelfingen,11475
-2.883611,-41.666111,br,luis correia,11480
37.303373,-6.300969,es,pilas,11480
47.445648,-0.465395,fr,trelaze,11481
-17.35,-63.4,bo,portachuelo,11486
50.433333,4.55,be,farciennes,11488
9.395603,-75.064758,co,san pedro,11489
49.09378,0.601411,fr,bernay,11491
48.966667,9.283333,de,steinheim,11493
-9.75,-37.433333,br,pao de acucar,11497
50.345561,3.549588,fr,marly,11497
48.35,16.333333,at,korneuburg,11498
48.166667,11.816667,de,poing,11498
-13.516667,-40.15,br,itirucu,11499
55.866667,-3.066667,gb,dalkeith,11502
48.8,9.683333,de,lorch,11503
-5.6,-46.75,br,amarante do maranhao,11510
48.216667,13.5,at,ried,11511
-17.083333,-40.95,br,aguas formosas,11512
-8.9,-35.15,br,sao jose da coroa grande,11512
48.583333,12.166667,de,ergolding,11513
50.416667,6.033333,be,malmedy,11514
49.819444,10.990833,de,hirschaid,11514
53.133333,-1.533333,gb,matlock,11516
5.2666667,17.65,cf,bossembele,11518
51.95,10.566667,de,vienenburg,11518
-6.716667,-38.866667,br,barro,11519
49.65,10.083333,de,ochsenfurt,11531
-8.833333,-36.033333,br,quipapa,11533
-6.033333,-37.016667,br,jucurutu,11535
37.224321,-3.686515,es,atarfe,11535
38.906904,-3.663455,es,bolanos de calatrava,11535
47.813418,7.563494,de,neuenburg,11538
48.45,12.35,de,vilsbiburg,11538
-24.2,-50.916667,br,ortigueira,11541
46.662222,14.634444,at,volkermarkt,11543
47.546992,9.298365,ch,amriswil,11543
12.984167,37.765,et,dabat,11544
7.001719,-76.267225,co,dabeiba,11548
51.583333,8.166667,de,bad sassendorf,11552
55.809873,12.362286,dk,farum,11552
42.4333333,23.8166667,bg,ihtiman,11554
48.97146,1.980817,fr,vernouillet,11554
-21.933333,-42.616667,br,carmo,11555
40.8697222,20.1844444,al,gramsh,11556
-14.45,-49.966667,br,crixas,11560
50.05,9.7,de,gemunden,11560
15.4491667,39.0886111,er,ginda,11560
49.755711,16.657149,cz,moravska trebova,11564
50.933333,5.166667,be,herk-de-stad,11566
-7.483333,-36.116667,br,boqueirao,11566
48.683333,9.283333,de,neuhausen,11566
47.366429,7.329005,ch,delemont,11567
48.633333,9.016667,de,holzgerlingen,11567
50.983333,4.566667,be,boortmeerbeek,11570
50.5,9.133333,de,schotten,11570
43.356187,-8.257964,es,sada,11573
51.966667,7.3,de,billerbeck,11578
50.866667,2.983333,be,zonnebeke,11581
49.066667,10.316667,de,dinkelsbuhl,11581
-38.23476,146.394989,au,morwell,11585
46.930286,7.562099,ch,worb,11586
50.533333,5.816667,be,theux,11587
51.3,12.066667,de,bad durrenberg,11587
50.466667,3.633333,be,bernissart,11588
48.785198,2.58112,fr,la queue-en-brie,11589
50.4,4.266667,be,anderlues,11597
45.124434,5.706396,fr,le pont-de-claix,11597
41.987722,-8.755018,es,tomino,11598
51.033333,3.85,be,laarne,11600
54.8,9.383333,de,harrislee,11600
50.616667,5.65,be,beyne-heusay,11608
9.374101,-75.758909,co,san antero,11610
51.5,8.133333,de,mohnesee,11612
48.166667,11.316667,de,eichenau,11614
47.6,9.9,de,lindenberg,11614
49.35,11.3,de,burgthann,11615
50.966667,11.9,de,eisenberg,11616
-21.716667,-48.683333,br,tabatinga,11617
-14.016667,-39.95,br,jitauna,11619
45.0111111,18.3266667,ba,odzak,11621
49.475,8.606944,de,ladenburg,11621
-32.261181,150.890091,au,muswellbrook,11630
35.489361,66.664088,af,lar gerd,11635
43.901111,1.902021,fr,gaillac,11635
-3.683333,-42.783333,br,brejo,11636
48.033333,12.55,de,trostberg,11640
19.75,-71.45,do,villa vazquez,11645
50.2,11.783333,de,munchberg,11646
50.983333,6,de,gangelt,11647
-28.6,-49.033333,br,jaguaruna,11650
48.883333,9.533333,de,rudersberg,11651
-18.833333,-50.133333,br,santa vitoria,11657
48.320197,0.820593,fr,nogent-le-rotrou,11657
46.284017,6.161659,ch,versoix,11660
3.6333333,18.6,cf,mongoumba,11663
52.333333,10.666667,de,lehre,11664
48.183333,14.116667,at,marchtrenk,11666
51.9,11.766667,de,calbe,11666
48.983333,9.133333,de,besigheim,11667
57.265112,9.959859,dk,bronderslev,11671
49.505556,8.603611,de,heddesheim,11673
50.8,7.616667,de,rosbach,11674
19.3833333,-70.4166667,do,salcedo,11676
-24.283333,-47.466667,br,miracatu,11679
8.859576,-83.502242,cr,buenos aires,11680
49.170278,8.487778,de,graben-neudorf,11683
-20.73649,116.84638,au,karratha,11694
-7.85,-37.983333,br,flores,11694
62.733333,22.566667,fi,ilmajoki,11694
43.966667,-79.25,ca,whitchurch-stouffville,11696
52.683333,13.183333,de,velten,11697
-19.783333,-41.733333,br,ipanema,11705
47.967395,0.158067,fr,allonnes,11707
48.15,12.183333,de,altdorf,11709
-8.116667,-42.966667,br,canto do buriti,11715
-22.15,-42.416667,br,bom jardim,11716
48.74527,2.464669,fr,valenton,11716
48.616667,15.166667,at,zwettl,11718
8.948405,-83.109585,cr,guacimo,11720
50.166667,16.283333,cz,rychnov nad kneznou,11721
42.1666667,26.5666667,bg,elhovo,11723
-26.068889,-53.725278,br,santo antonio do sudoeste,11723
47.270429,8.643675,ch,meilen,11723
3.930645,-76.484811,co,darien,11724
45.738792,4.772185,fr,francheville,11724
-10.166667,-67.833333,br,senador guiomard,11727
43.547937,1.470791,fr,ramonville-saint-agne,11732
-14.766667,-43.933333,br,manga,11733
10.166667,38.133333,et,dejen,11739
48.933333,8.266667,de,durmersheim,11742
45.751226,3.083551,fr,beaumont,11742
50.866667,7.75,de,morsbach,11743
39.468226,-3.531957,es,madridejos,11743
43.8269444,17.0077778,ba,livno,11748
-14.4666667,-67.5666667,bo,rurrenabaque,11750
5.166498,-75.520008,co,neira,11755
47.424076,-0.524165,fr,les ponts-de-ce,11757
-21.616667,-49.066667,br,borborema,11759
52.316667,7.233333,de,schuttorf,11762
-3.45,-68.8,br,sao paulo de olivenca,11763
43.95,-78.3,ca,port hope,11765
47.483056,9.683056,at,hard,11766
51.266667,3.033333,be,de haan,11766
47.85,16.516667,at,eisenstadt,11767
-20.216667,-42.65,br,rio casca,11769
47.085571,8.442057,ch,kussnacht,11771
52.533333,11.366667,de,gardelegen,11771
-22.933333,-46.283333,br,joanopolis,11772
47.966667,14.766667,at,waidhofen,11774
44.350712,2.034177,fr,villefranche-de-rouergue,11775
50.8,6.65,de,norvenich,11778
43.641272,7.005747,fr,valbonne,11782
49.137222,8.403333,de,linkenheim-hochstetten,11783
48.959957,1.854673,fr,aubergenville,11785
52.15,8.05,de,bad iburg,11790
42.649765,-8.81763,es,rianxo,11793
5.500397,-3.663083,ci,alepe,11794
7.426754,-4.765391,ci,ndiekro,11794
49.450278,8.674722,de,dossenheim,11794
49.355442,16.01449,cz,velke mezirici,11795
53.366667,10.566667,de,lauenburg,11796
